"event-id","visible","timestamp","location-long","location-lat","gps:hdop","gps:satellite-count","sensor-type","individual-taxon-canonical-name","tag-local-identifier","individual-local-identifier","study-name","GlobCover 2009 2009 Land-Cover Classification"
"3942427178","true","2017-01-20 00:00:00.000","-81.50022","26.84917","2.4","5","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427179","true","2017-01-23 00:00:00.000","-81.5002","26.8493","2.0","5","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427180","true","2017-01-26 00:00:00.000","-81.50011","26.84931","2.3","5","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427181","true","2017-01-29 00:00:00.000","-81.5","26.84935","1.6","6","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427182","true","2017-02-01 00:00:00.000","-81.50038","26.84916","1.4","7","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427183","true","2017-02-07 00:00:00.000","-81.5001","26.84912","1.5","6","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427184","true","2017-02-10 00:00:00.000","-81.50016","26.84919","3.3","6","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427185","true","2017-02-13 00:00:00.000","-81.50007","26.84913","4.6","6","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427186","true","2017-03-15 00:00:00.000","-81.50029","26.84926","2.4","5","gps","","4","2651-65626","grcaMigration-Ryder","140"
"3942427187","true","2016-08-06 00:00:00.000","-77.04161","39.05499","5.7","4","gps","","5","2671-02034","grcaMigration-Ryder","70"
"3942427188","true","2016-09-16 00:00:00.000","-77.04209","39.05418","2.2","5","gps","","5","2671-02034","grcaMigration-Ryder","70"
"3942427189","true","2016-09-19 00:00:00.000","-77.04055","39.0549","3.1","4","gps","","5","2671-02034","grcaMigration-Ryder","70"
"3942427190","true","2016-09-25 00:00:00.000","-79.23689","36.56638","1.6","5","gps","","5","2671-02034","grcaMigration-Ryder","50"
"3942427191","true","2016-10-04 00:00:00.000","-82.52835","29.53557","1.6","5","gps","","5","2671-02034","grcaMigration-Ryder","50"
"3942427192","true","2016-10-07 00:00:00.000","-82.03136","27.95934","5.2","5","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427193","true","2016-10-10 00:00:00.000","-82.03121","27.95944","1.8","5","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427194","true","2016-10-16 00:00:00.000","-82.0312","27.959","1.6","6","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427195","true","2016-10-19 00:00:00.000","-82.03133","27.95901","2.7","4","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427196","true","2016-10-28 00:00:00.000","-82.03127","27.95901","1.7","5","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427197","true","2016-10-31 00:00:00.000","-82.03119","27.9596","8.4","4","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427198","true","2016-11-15 00:00:00.000","-82.03118","27.95937","1.7","7","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427199","true","2016-11-18 00:00:00.000","-82.03128","27.9593","1.5","6","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427200","true","2016-11-30 00:00:00.000","-82.03109","27.95926","4.2","4","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427201","true","2016-12-03 00:00:00.000","-82.03131","27.95954","1.3","5","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427202","true","2016-12-06 00:00:00.000","-82.03135","27.95917","6.1","4","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427203","true","2016-12-09 00:00:00.000","-82.03121","27.95928","6.4","5","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427204","true","2016-12-15 00:00:00.000","-82.03153","27.95932","2.2","5","gps","","5","2671-02034","grcaMigration-Ryder","100"
"3942427205","true","2016-07-25 00:00:00.000","-77.03909","39.05269","3.6","4","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427206","true","2016-08-06 00:00:00.000","-77.03904","39.05265","1.9","5","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427207","true","2016-09-01 00:00:00.000","-77.03858","39.0528","4.1","5","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427208","true","2016-09-04 00:00:00.000","-77.0386","39.05282","4.8","5","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427209","true","2016-09-16 00:00:00.000","-77.03942","39.05286","3.4","4","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427210","true","2016-09-22 00:00:00.000","-77.04465","39.05164","2.8","4","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427211","true","2016-09-25 00:00:00.000","-77.43645","37.55545","1.6","5","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427212","true","2016-09-28 00:00:00.000","-77.43545","37.55509","2.5","5","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427213","true","2016-10-04 00:00:00.000","-81.77575","30.73812","1.6","6","gps","","6","2671-02024","grcaMigration-Ryder","50"
"3942427214","true","2016-10-07 00:00:00.000","-81.76935","28.88831","1.5","6","gps","","6","2671-02024","grcaMigration-Ryder","70"
"3942427215","true","2016-10-16 00:00:00.000","-80.42518","25.49899","1.0","8","gps","","6","2671-02024","grcaMigration-Ryder","30"
"3942427216","true","2016-10-19 00:00:00.000","-80.43616","25.51744","1.1","7","gps","","6","2671-02024","grcaMigration-Ryder","30"
